央视,#genre#
CCTV-12HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225523/10000100000000060000000000007516_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DoH3uoRNAU7Jg7ji7XVL/CIkFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-13HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226143/10000100000000060000000011287863_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DKg5qmmHk/HiirISFu8RixokFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-14HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225529/10000100000000060000000000007514_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DyiwZrg6boWh5BehaKDfpQ4kFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-15,rtsp://122.191.50.135/PLTV/88888888/224/3221225532/10000100000000060000000000007513_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DJtHPEoSzPID+b4L5oaoMRokFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-16HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226176/10000100000000060000000013492039_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D21+81XNt6WnEMww8dvWrpokFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-17HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225871/10000100000000060000000003075841_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DXXS41YT1MIDWVuhMCLxbgokFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-NEWS,rtsp://122.191.50.135/PLTV/88888888/224/3221225535/10000100000000060000000000007512_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DtuNnsNWvRO2EgXT+6sZAlIkFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV-1HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225513/10000100000000060000000000007639_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyOTeiw17EJfGUTTDcAUXw1v1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-2HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225501/10000100000000060000000000002586_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyMctyrqYeG0HQYOJ4vWTKvP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-3HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225747/10000100000000060000000002957367_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigey/p6ka863EZMIt4Jh2i9fzP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-4HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225732/10000100000000060000000001790339_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyjonKYumstZGQBPrBJGhHev1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-5HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225672/10000100000000060000000000330974_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeypK2uU+OxriuKtu2h/vgePf1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
CCTV-6HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225750/10000100000000060000000002957366_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigey3TG8utWR1L3vkCIsm2H+Vv1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
