 央视频道,#genre#
 湖南卫视,http://hlsbkmgsplive.miguvideo.com/wd-hunanhd-2500/index.m3u8?&encrypt=
 江西卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/jxwshd/57/20190820/index.m3u8?&encrypt=
 江苏卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/2500/index.m3u8?&encrypt=
 浙江卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/zhejianghd/2500/index.m3u8?&encrypt=
 东南卫视,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/bestv/dnws/1000/index.m3u8?&encrypt=
 广东卫视,http://hlsbkmgsplive.miguvideo.com/ws_w/gdws/gdws3000/3000/index.m3u8?&encrypt=
 南方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?&encrypt=
 广西卫视,http://hlsbkmgsplive.miguvideo.com/wd-guangxiwssd-600/index.m3u8?&encrypt=
 云南卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/yunnan/1000/index.m3u8?&encrypt=
 贵州卫视,http://hlsbkmgsplive.miguvideo.com/wd-guizhouwssd-600/index.m3u8?&encrypt=
 四川卫视,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/sichuanTV/1000/index.m3u8?&encrypt=
 新疆卫视,http://hlsbkmgsplive.miguvideo.com/wd-xinjiangwssd-600/index.m3u8?&encrypt=
 兵团卫视,http://hlsbkmgsplive.miguvideo.com/envivo_w/2018/SD/bttv/1000/index.m3u8?&encrypt=
 西藏卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xizang/1000/index.m3u8?&encrypt=
 地方频道,#genre#
 北京纪实科教,http://hlsbkmgsplive.miguvideo.com/wd_r3/btv/btv6/2000/index.m3u8?&encrypt=
 四海钓鱼,http://hlsbkmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?&encrypt=
 上海新闻综合,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/xinwenzonghehd/3000/index.m3u8?&encrypt=
 第一财经,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/bestv/dycj/1000/index.m3u8?&encrypt=
 东方影视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dianshijuhd/3000/index.m3u8?&encrypt=
 上视都市,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/yulehd/3000/index.m3u8?&encrypt=
 上视纪实人文,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/jspdhd/3000/index.m3u8?&encrypt=
 上海ICS,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/waiyusd/600/index.m3u8?&encrypt=
 哈哈炫动,http://hlsbkmgsplive.miguvideo.com/ws_w/2018/xdkt/xdkt711/1000/index.m3u8?&encrypt=
 法治天地,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/fztd/1000/index.m3u8?&encrypt=
 欢笑剧场,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/huanxiaojuchanghd/1200/index.m3u8?&encrypt=
 乐游,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/quanjishihd/3000/index.m3u8?&encrypt=
 五星体育,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/wuxingtiyuhd/3000/index.m3u8?&encrypt=
 游戏风云,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/youxifengyunhd/1200/index.m3u8?&encrypt=
 漳县综合 甘肃,http://hlsbkmgsplive.miguvideo.com/wd_r4/cnr/zhangxianzonghe/600/index.m3u8?&encrypt=
 临洮电视台 甘肃,http://hlsbkmgsplive.miguvideo.com/migu/kailu/linyaodst/51/20191206/index.m3u8?&encrypt=
 陇西电视台 甘肃,http://hlsbkmgsplive.miguvideo.com/migu/kailu/longxidst/51/20191206/index.m3u8?&encrypt=
 岷县电视台 甘肃,http://hlsbkmgsplive.miguvideo.com/migu/kailu/minxiandst/51/20191206/index.m3u8?&encrypt=
 果洛电视台 青海,http://hlsbkmgsplive.miguvideo.com/wd_r1/cnr/guoluotv/2000/index.m3u8?&encrypt=
 汉中新闻综合 陕西,http://hlsbkmgsplive.miguvideo.com/wd_r1/cnr/hanzhongzonghe/2000/index.m3u8?&encrypt=
 汉中公共,http://hlsbkmgsplive.miguvideo.com/wd_r1/cnr/hanzhonggonggong/2000/index.m3u8?&encrypt=
 汉中教育,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20220316/hanzhong3/51/index.m3u8?&encrypt=
 汉中留坝电视台,http://hlsbkmgsplive.miguvideo.com/wd_r1/cnr/hzlbdianshitai/1000/index.m3u8?&encrypt=
 宁强1台 陕西,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200702/SD/nqdst01/51/index.m3u8?&encrypt=
